# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "4" "-a" "ref/eco_gff.gff" "-o" "counts/eco_glyc_1_gene_counts.txt" "-t" "CDS" "-g" "ID" "star/eco_glyc_1Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	star/eco_glyc_1Aligned.sortedByCoord.out.bam
cds-BAB34705.2	BA000007.3	1350076	1353888	+	3813	1
cds-BAB34706.1	BA000007.3	1353977	1355596	+	1620	3
cds-BAB34707.1	BA000007.3	1355612	1355980	+	369	0
cds-BAB34708.2	BA000007.3	1355994	1356755	+	762	0
cds-BAB34709.1	BA000007.3	1356759	1357307	+	549	1
cds-BAB34710.1	BA000007.3	1357329	1357610	+	282	0
cds-BAB34711.1	BA000007.3	1357646	1358806	+	1161	1
cds-BAB34712.1	BA000007.3	1358880	1361438	+	2559	0
cds-BAB34713.2	BA000007.3	1361443	1362666	+	1224	0
cds-BAB34714.2	BA000007.3	1362663	1363616	+	954	0
cds-BAB34715.1	BA000007.3	1363627	1364334	+	708	1
cds-BAB34716.1	BA000007.3	1364318	1364974	+	657	0
cds-BAB34717.1	BA000007.3	1364975	1366285	+	1311	0
cds-BAB34718.1	BA000007.3	1366294	1367082	+	789	0
cds-BAB34719.1	BA000007.3	1367079	1368467	+	1389	0
cds-BAB34720.2	BA000007.3	1368481	1369422	+	942	1
cds-BAB34721.1	BA000007.3	1369419	1370405	+	987	88
cds-BAB34722.1	BA000007.3	1370772	1371974	+	1203	0
cds-BAB34723.1	BA000007.3	1372161	1373978	-	1818	0
cds-ECs_1301	BA000007.3	1374474	1374911	+	438	0
cds-BAB34725.1	BA000007.3	1375090	1375386	+	297	1
cds-BAB34726.1	BA000007.3	1376029	1377414	+	1386	1
cds-BAB34727.1	BA000007.3	1378235	1378798	+	564	0
cds-BAB34728.1	BA000007.3	1378953	1381313	+	2361	1
cds-BAB34730.1	BA000007.3	1382070	1383608	-	1539	0
cds-BAB34731.1	BA000007.3	1383658	1384005	-	348	0
cds-BAB34732.2	BA000007.3	1384002	1384382	-	381	0
cds-ECs_1310	BA000007.3	1384458	1384769	-	312	33
cds-BAB34734.1	BA000007.3	1384909	1385727	+	819	1
cds-BAB34735.2	BA000007.3	1385840	1386379	+	540	0
cds-BAB34736.1	BA000007.3	1386427	1386678	-	252	0
cds-BAB34737.1	BA000007.3	1386702	1386992	-	291	0
cds-BAB34739.1	BA000007.3	1387678	1388037	+	360	0
cds-BAB34740.2	BA000007.3	1388130	1389749	-	1620	2
cds-BAB34742.1	BA000007.3	1389974	1390249	-	276	0
cds-BAB34744.2	BA000007.3	1390630	1391328	+	699	0
cds-BAB34745.1	BA000007.3	1391419	1391721	+	303	5
cds-BAB34746.1	BA000007.3	1391730	1392050	+	321	0
cds-BAB34747.2	BA000007.3	1392043	1393746	+	1704	0
cds-BAB34748.1	BA000007.3	1393756	1394220	+	465	0
cds-BAB34749.1	BA000007.3	1394221	1394895	+	675	0
cds-BAB34750.1	BA000007.3	1394907	1395524	+	618	0
cds-ECs_1328	BA000007.3	1395780	1396121	-	342	26
cds-BAB34753.1	BA000007.3	1396736	1396999	+	264	0
cds-BAB34756.1	BA000007.3	1398313	1398984	-	672	0
cds-BAB34759.2	BA000007.3	1400517	1401002	-	486	4
cds-BAB34760.1	BA000007.3	1401322	1401747	+	426	0
cds-BAB34761.1	BA000007.3	1401744	1402094	+	351	0
cds-BAB34762.1	BA000007.3	1402125	1403738	+	1614	0
cds-BAB34763.2	BA000007.3	1403742	1404599	-	858	0
cds-BAB34764.2	BA000007.3	1404681	1405022	-	342	0
cds-BAB34765.1	BA000007.3	1405009	1405338	-	330	0
cds-BAB34766.1	BA000007.3	1405599	1406066	-	468	0
cds-BAB34767.1	BA000007.3	1406084	1407292	-	1209	0
cds-BAB34768.1	BA000007.3	1407303	1408259	-	957	0
cds-BAB34769.2	BA000007.3	1408259	1409338	-	1080	0
cds-BAB34771.1	BA000007.3	1409340	1410113	-	774	0
cds-BAB34772.1	BA000007.3	1410106	1411248	-	1143	0
cds-BAB34773.1	BA000007.3	1411258	1412316	-	1059	1
cds-BAB34774.1	BA000007.3	1412639	1413220	+	582	0
cds-BAB34775.2	BA000007.3	1413220	1414377	+	1158	0
cds-BAB34776.1	BA000007.3	1414400	1414855	+	456	15
cds-BAB34777.1	BA000007.3	1414878	1415918	+	1041	1
cds-BAB34778.1	BA000007.3	1415967	1416545	+	579	0
cds-BAB34779.1	BA000007.3	1416614	1417189	+	576	0
cds-BAB34781.1	BA000007.3	1417611	1417919	+	309	0
cds-BAB34783.1	BA000007.3	1418511	1420601	-	2091	0
cds-BAB34785.2	BA000007.3	1422054	1422272	+	219	0
cds-BBE29407.1	BA000007.3	1422905	1423240	+	336	0
cds-BAB34787.1	BA000007.3	1424021	1424215	-	195	0
cds-BAB34788.2	BA000007.3	1424267	1424446	-	180	0
cds-BAB34789.1	BA000007.3	1424535	1424807	+	273	0
cds-BBE29408.1	BA000007.3	1425372	1425569	+	198	0
cds-BAB34793.1	BA000007.3	1426299	1427423	+	1125	0
cds-BAB34795.2	BA000007.3	1427842	1428135	-	294	984
cds-BAB34796.1	BA000007.3	1428264	1428539	-	276	1499
cds-BAB34797.1	BA000007.3	1428777	1429235	-	459	0
cds-BAB34799.1	BA000007.3	1429693	1430202	+	510	0
cds-BAB34800.1	BA000007.3	1430291	1430914	+	624	0
cds-BAB34801.1	BA000007.3	1431010	1431243	+	234	0
cds-BBE29409.1	BA000007.3	1431296	1431487	-	192	0
cds-BAB34803.1	BA000007.3	1432081	1432968	-	888	0
cds-BAB34804.1	BA000007.3	1432968	1433294	-	327	0
cds-BAB34805.2	BA000007.3	1433475	1434521	+	1047	0
cds-ECs_1383	BA000007.3	1434762	1437422	+	2661	1
cds-BAB34809.1	BA000007.3	1437943	1439175	+	1233	0
cds-BAB34810.1	BA000007.3	1439160	1439798	+	639	0
cds-BAB34811.1	BA000007.3	1439877	1440146	+	270	0
cds-BAB34812.1	BA000007.3	1440167	1440811	+	645	0
cds-BBE29410.1	BA000007.3	1441127	1441627	+	501	0
cds-BAB34816.1	BA000007.3	1441811	1442236	+	426	0
cds-BAB34817.1	BA000007.3	1442536	1442718	-	183	0
cds-BAB34818.1	BA000007.3	1443047	1443919	+	873	46
cds-BAB34819.1	BA000007.3	1444291	1447140	+	2850	876
cds-BAB34820.1	BA000007.3	1447251	1449635	+	2385	0
cds-BAB34821.1	BA000007.3	1449632	1450537	+	906	0
cds-BAB34822.1	BA000007.3	1450534	1451604	+	1071	0
cds-BAB34824.1	BA000007.3	1451944	1452762	+	819	0
cds-BAB34825.1	BA000007.3	1452853	1453338	+	486	1
cds-BAB34826.1	BA000007.3	1453354	1453830	+	477	0
cds-BAB34827.1	BA000007.3	1453893	1454114	+	222	0
cds-BAB34828.1	BA000007.3	1454277	1454651	+	375	0
cds-BAB34829.1	BA000007.3	1454698	1455072	+	375	0
cds-BAB34830.1	BA000007.3	1455069	1455560	+	492	0
cds-BAB34831.1	BA000007.3	1455572	1455769	+	198	0
cds-BAB34832.1	BA000007.3	1455854	1456696	+	843	0
cds-BAB34833.2	BA000007.3	1457167	1458105	+	939	328
cds-BAB34834.1	BA000007.3	1458160	1458897	+	738	750
cds-BAB34835.1	BA000007.3	1458921	1459475	+	555	653
cds-BAB34836.2	BA000007.3	1459547	1460068	+	522	617
cds-BAB34837.1	BA000007.3	1460132	1460965	-	834	92
cds-BAB34838.1	BA000007.3	1460992	1461408	-	417	1
cds-BAB34839.1	BA000007.3	1461433	1461822	-	390	9
cds-BAB34840.1	BA000007.3	1461827	1462477	-	651	74
cds-BAB34842.1	BA000007.3	1463231	1463686	+	456	8
cds-BAB34843.1	BA000007.3	1463727	1464185	+	459	29
cds-BAB34844.1	BA000007.3	1464244	1464576	+	333	6
cds-BAB34845.1	BA000007.3	1464697	1465008	+	312	32
cds-BAB34846.1	BA000007.3	1465103	1465636	+	534	129
cds-BAB34847.1	BA000007.3	1465578	1467059	+	1482	274
cds-BAB34848.1	BA000007.3	1467067	1468224	-	1158	373
cds-BAB34849.2	BA000007.3	1468650	1470152	+	1503	3541
cds-BAB34850.2	BA000007.3	1470175	1472688	+	2514	3995
cds-BAB34851.1	BA000007.3	1472861	1473088	+	228	218
cds-BAB34852.2	BA000007.3	1473089	1473463	-	375	681
cds-ECs_1431	BA000007.3	1473546	1474517	-	972	214
cds-BAB34855.1	BA000007.3	1474944	1475864	-	921	157
cds-BAB34856.1	BA000007.3	1476089	1477141	+	1053	3996
cds-BAB34857.1	BA000007.3	1477183	1477758	-	576	79
cds-BAB34858.1	BA000007.3	1477762	1478328	-	567	22
cds-BAB34859.2	BA000007.3	1478589	1478702	-	114	13
cds-BAB34860.1	BA000007.3	1478750	1479868	-	1119	329
cds-BAB34861.1	BA000007.3	1479983	1480237	-	255	1674
cds-BAB34862.1	BA000007.3	1480527	1480772	-	246	573
cds-BAB34863.1	BA000007.3	1480846	1481892	-	1047	561
cds-BAB34864.1	BA000007.3	1481998	1482558	-	561	1133
cds-BAB34865.1	BA000007.3	1482692	1483339	-	648	492
cds-BAB34866.2	BA000007.3	1483403	1484611	-	1209	493
cds-BAB34867.1	BA000007.3	1484847	1485431	+	585	299
cds-BAB34868.1	BA000007.3	1485442	1486089	+	648	330
cds-BAB34869.1	BA000007.3	1486091	1487014	+	924	261
cds-BAB34870.1	BA000007.3	1487124	1488659	+	1536	414
cds-BAB34871.1	BA000007.3	1488699	1489115	-	417	81
cds-BAB34872.1	BA000007.3	1489120	1489413	-	294	27
cds-BAB34873.1	BA000007.3	1489489	1490148	-	660	91
cds-BAB34874.1	BA000007.3	1490303	1490719	+	417	95
cds-BAB34875.1	BA000007.3	1490723	1491127	+	405	47
cds-BAB34876.1	BA000007.3	1491139	1491834	+	696	97
cds-BAB34877.1	BA000007.3	1491859	1493064	+	1206	182
cds-BAB34878.1	BA000007.3	1493084	1493839	+	756	49
cds-BAB34879.1	BA000007.3	1493977	1494759	+	783	120
cds-BAB34880.1	BA000007.3	1494812	1495510	+	699	57
cds-BAB34881.1	BA000007.3	1495522	1496619	+	1098	52
cds-BAB34882.1	BA000007.3	1496619	1497560	+	942	51
cds-BAB34883.1	BA000007.3	1497626	1499269	+	1644	81
cds-BAB34884.1	BA000007.3	1499281	1500234	+	954	70
cds-BAB34885.1	BA000007.3	1500429	1503614	-	3186	6681
cds-BAB34887.1	BA000007.3	1504187	1505146	+	960	2184
cds-BAB34888.1	BA000007.3	1505247	1505870	-	624	525
cds-BAB34889.1	BA000007.3	1506030	1506551	+	522	20021
cds-BAB34890.1	BA000007.3	1506603	1506776	+	174	8409
cds-BAB34891.1	BA000007.3	1506887	1507927	+	1041	4776
cds-BAB34892.1	BA000007.3	1507995	1508948	+	954	5052
cds-BAB34893.1	BA000007.3	1508964	1509893	+	930	4734
cds-BAB34894.1	BA000007.3	1509906	1510640	+	735	5295
cds-BAB34895.1	BA000007.3	1510851	1511087	+	237	29181
cds-BAB34896.1	BA000007.3	1511175	1512416	+	1242	11851
cds-BAB34897.1	BA000007.3	1512536	1513345	+	810	421
cds-BAB34898.1	BA000007.3	1513348	1514370	+	1023	492
cds-BAB34899.1	BA000007.3	1514360	1515001	+	642	523
cds-BAB34900.1	BA000007.3	1514998	1516002	+	1005	808
cds-BAB34901.1	BA000007.3	1516013	1516810	+	798	1271
cds-BAB34902.1	BA000007.3	1517105	1518538	+	1434	5614
cds-BAB34903.1	BA000007.3	1518598	1520787	-	2190	152
cds-BAB34904.1	BA000007.3	1521133	1521492	+	360	839
cds-BAB34905.1	BA000007.3	1521495	1521872	+	378	651
cds-BAB34906.1	BA000007.3	1521886	1522527	+	642	749
cds-BAB34907.1	BA000007.3	1522508	1523332	+	825	638
cds-BAB34908.1	BA000007.3	1523343	1524368	+	1026	1672
cds-BAB34909.2	BA000007.3	1524391	1524933	+	543	1064
cds-BAB34910.1	BA000007.3	1525333	1526637	+	1305	1300
cds-BAB34911.1	BA000007.3	1526864	1527403	+	540	1121
cds-BAB34912.2	BA000007.3	1527465	1528160	-	696	307
cds-BAB34913.1	BA000007.3	1528338	1528595	+	258	150
cds-BAB34914.2	BA000007.3	1528678	1529637	-	960	60
cds-BAB34915.2	BA000007.3	1529784	1533278	-	3495	2672
cds-BAB34916.1	BA000007.3	1533358	1534431	-	1074	79
cds-BAB34917.1	BA000007.3	1534693	1535892	+	1200	932
cds-BAB34918.2	BA000007.3	1535885	1536586	+	702	468
cds-BAB34919.2	BA000007.3	1536592	1537830	+	1239	1119
cds-BAB34920.1	BA000007.3	1537859	1538770	+	912	587
cds-BAB34921.1	BA000007.3	1538786	1539607	+	822	502
cds-BAB34922.1	BA000007.3	1539763	1540809	-	1047	1554
cds-BAB34923.1	BA000007.3	1540806	1541600	-	795	927
cds-BAB34924.1	BA000007.3	1541767	1542885	-	1119	0
cds-BAB34925.1	BA000007.3	1542854	1543123	-	270	0
cds-BAB34926.2	BA000007.3	1543185	1543529	-	345	0
cds-BAB34927.2	BA000007.3	1543707	1544222	+	516	1
cds-BAB34928.1	BA000007.3	1544337	1544567	-	231	9
cds-BAB34929.1	BA000007.3	1544805	1545281	-	477	974
cds-BAB34930.1	BA000007.3	1545406	1545729	+	324	38
cds-BAB34931.1	BA000007.3	1545713	1546138	+	426	0
cds-BAB34932.1	BA000007.3	1546207	1547244	+	1038	0
cds-BAB34933.2	BA000007.3	1547276	1547698	+	423	0
cds-BAB34934.1	BA000007.3	1547732	1548448	+	717	0
cds-BAB34935.1	BA000007.3	1548445	1548762	+	318	0
cds-BAB34936.1	BA000007.3	1548759	1549061	+	303	0
cds-BAB34937.1	BA000007.3	1549051	1549368	+	318	0
cds-BAB34938.1	BA000007.3	1549322	1549639	+	318	0
cds-BAB34939.1	BA000007.3	1549626	1550063	+	438	0
cds-BAB34940.1	BA000007.3	1550065	1550256	+	192	0
cds-BAB34941.1	BA000007.3	1550259	1550846	+	588	0
cds-BBE29411.1	BA000007.3	1550962	1551066	+	105	0
cds-BAB34943.1	BA000007.3	1551255	1551467	+	213	0
cds-BAB34945.1	BA000007.3	1551915	1552964	+	1050	0
cds-BAB34946.1	BA000007.3	1552977	1553351	+	375	0
cds-BAB34947.1	BA000007.3	1553348	1554169	+	822	0
cds-BBE29412.1	BA000007.3	1554623	1554769	+	147	0
cds-BBE29413.1	BA000007.3	1554766	1554933	+	168	0
cds-BAB34950.1	BA000007.3	1555248	1557185	+	1938	2
cds-BAB34951.1	BA000007.3	1557333	1557515	+	183	0
cds-BAB34952.1	BA000007.3	1557553	1557822	+	270	0
cds-BAB34953.1	BA000007.3	1557898	1558113	+	216	0
cds-BAB34954.1	BA000007.3	1558118	1558462	+	345	0
cds-BAB34955.1	BA000007.3	1558513	1559046	+	534	0
cds-BAB34956.1	BA000007.3	1559317	1559886	+	570	0
cds-BBE29414.1	BA000007.3	1559886	1560032	+	147	0
cds-BAB34957.1	BA000007.3	1560040	1560507	+	468	0
cds-BAB34958.1	BA000007.3	1560260	1560466	+	207	0
cds-BAB34959.1	BA000007.3	1560531	1560755	+	225	0
cds-BAB34961.1	BA000007.3	1561112	1561252	+	141	0
cds-BAB34962.2	BA000007.3	1561475	1561564	+	90	0
cds-BAB34963.1	BA000007.3	1561609	1561974	+	366	0
cds-BAB34964.1	BA000007.3	1562264	1562827	+	564	0
cds-BAB34965.1	BA000007.3	1562824	1564485	+	1662	0
cds-BAB34966.1	BA000007.3	1564549	1566486	+	1938	0
cds-BBE29415.1	BA000007.3	1566531	1566752	+	222	0
cds-BAB34967.1	BA000007.3	1566698	1569199	+	2502	0
cds-BAB34968.1	BA000007.3	1569279	1569605	+	327	0
cds-BAB34969.1	BA000007.3	1569615	1569965	+	351	0
cds-BAB34970.1	BA000007.3	1569962	1570408	+	447	0
cds-BAB34971.1	BA000007.3	1570405	1570749	+	345	0
cds-BAB34972.1	BA000007.3	1570808	1571524	+	717	0
cds-BAB34973.1	BA000007.3	1571530	1571904	+	375	0
cds-BAB34974.2	BA000007.3	1572000	1572209	+	210	0
cds-BAB34975.2	BA000007.3	1572262	1575504	+	3243	0
cds-BAB34977.1	BA000007.3	1575497	1575838	+	342	0
cds-BAB34978.1	BA000007.3	1575838	1576536	+	699	0
cds-BAB34979.1	BA000007.3	1576553	1576807	-	255	1
cds-BAB34980.1	BA000007.3	1577330	1578208	+	879	1
cds-BAB34981.1	BA000007.3	1578262	1578999	+	738	0
cds-BAB34982.2	BA000007.3	1578996	1579181	+	186	0
cds-BBE29416.1	BA000007.3	1579194	1579283	+	90	0
cds-BAB34983.1	BA000007.3	1579303	1581651	+	2349	0
cds-BAB34984.1	BA000007.3	1582242	1585643	+	3402	3
cds-BAB34986.1	BA000007.3	1585812	1586261	+	450	0
cds-BAB34987.1	BA000007.3	1586186	1587091	-	906	857
cds-BAB34988.1	BA000007.3	1587253	1587414	-	162	175
cds-ECs_1566	BA000007.3	1587699	1587872	+	174	0
cds-BAB34990.1	BA000007.3	1587952	1588227	-	276	0
cds-BAB34991.1	BA000007.3	1588288	1589649	-	1362	2
cds-BAB34993.1	BA000007.3	1590013	1590876	-	864	809
cds-BAB34994.1	BA000007.3	1590860	1591996	-	1137	1362
cds-BAB34995.1	BA000007.3	1592246	1593472	+	1227	686
cds-BAB34996.2	BA000007.3	1593521	1594642	-	1122	1736
cds-BAB34997.1	BA000007.3	1594891	1596120	+	1230	0
cds-BAB34999.1	BA000007.3	1596731	1597474	+	744	1
cds-BAB35000.1	BA000007.3	1597500	1597697	+	198	0
cds-BAB35001.1	BA000007.3	1597690	1597875	+	186	0
cds-BAB35002.1	BA000007.3	1597875	1598066	+	192	0
cds-BAB35003.1	BA000007.3	1598056	1598298	+	243	0
cds-BAB35004.1	BA000007.3	1598304	1598603	+	300	0
cds-BAB35005.2	BA000007.3	1598600	1600732	+	2133	0
cds-BAB35009.1	BA000007.3	1601103	1601354	+	252	0
cds-BAB35010.1	BA000007.3	1601351	1601761	+	411	0
cds-BAB35011.1	BA000007.3	1601772	1602044	+	273	0
cds-BAB35012.1	BA000007.3	1602169	1602393	+	225	0
cds-BAB35013.1	BA000007.3	1602686	1603843	+	1158	0
cds-BAB35014.2	BA000007.3	1603883	1604455	+	573	0
cds-BAB35015.2	BA000007.3	1604493	1605668	+	1176	0
cds-BAB35016.1	BA000007.3	1605665	1606003	+	339	0
cds-BAB35017.1	BA000007.3	1606000	1606296	+	297	0
cds-BAB35018.1	BA000007.3	1606296	1606736	+	441	0
cds-BAB35020.1	BA000007.3	1607026	1607382	+	357	0
cds-BAB35021.1	BA000007.3	1607366	1609027	+	1662	0
cds-BAB35022.1	BA000007.3	1609041	1609322	+	282	0
cds-BAB35024.1	BA000007.3	1610179	1611639	-	1461	1390
cds-BAB35025.1	BA000007.3	1611639	1612310	-	672	2026
cds-BAB35026.1	BA000007.3	1612479	1613849	-	1371	896
cds-BAB35027.1	BA000007.3	1613853	1614494	-	642	867
cds-BAB35028.2	BA000007.3	1614530	1615636	-	1107	3361
cds-BAB35029.1	BA000007.3	1615690	1616151	-	462	234
cds-BAB35030.1	BA000007.3	1616161	1616814	-	654	440
cds-BAB35031.1	BA000007.3	1616986	1618236	+	1251	8681
cds-BAB35032.1	BA000007.3	1618350	1619492	-	1143	0
cds-BAB35033.1	BA000007.3	1619482	1619718	-	237	0
cds-BAB35034.1	BA000007.3	1619822	1620646	+	825	4
cds-BAB35035.1	BA000007.3	1620643	1621344	+	702	7
cds-BAB35036.1	BA000007.3	1621341	1621643	+	303	200
cds-BAB35037.1	BA000007.3	1621711	1622043	+	333	1152
cds-BAB35038.1	BA000007.3	1622288	1623814	+	1527	229
cds-BAB35039.1	BA000007.3	1624316	1624771	+	456	6
cds-BAB35040.1	BA000007.3	1624771	1624941	+	171	0
cds-BAB35041.1	BA000007.3	1624934	1625224	+	291	0
cds-BAB35042.1	BA000007.3	1625221	1625583	+	363	2
cds-BBE29417.1	BA000007.3	1625580	1625720	+	141	1
cds-BAB35043.1	BA000007.3	1625717	1626406	+	690	0
cds-BAB35044.2	BA000007.3	1626728	1627033	+	306	0
cds-BAB35045.1	BA000007.3	1627020	1627496	+	477	0
cds-BAB35046.1	BA000007.3	1627493	1627954	+	462	21
cds-BAB35047.1	BA000007.3	1627713	1627895	+	183	0
cds-BAB35048.1	BA000007.3	1627986	1628279	-	294	3
cds-BAB35049.2	BA000007.3	1628571	1628981	-	411	20
cds-BAB35050.1	BA000007.3	1629267	1629473	+	207	27
cds-BAB35052.1	BA000007.3	1630221	1630766	+	546	24
cds-BAB35053.1	BA000007.3	1630741	1632666	+	1926	7
cds-BAB35054.1	BA000007.3	1632663	1632869	+	207	0
cds-BAB35055.1	BA000007.3	1632866	1634467	+	1602	1
cds-BAB35056.1	BA000007.3	1634448	1635767	+	1320	2
cds-BAB35057.1	BA000007.3	1635777	1636109	+	333	0
cds-BAB35058.1	BA000007.3	1636165	1637190	+	1026	0
cds-BAB35059.1	BA000007.3	1637232	1637630	+	399	0
cds-BAB35060.1	BA000007.3	1637642	1637995	+	354	0
cds-BAB35061.1	BA000007.3	1638007	1638585	+	579	0
cds-BAB35062.1	BA000007.3	1638582	1638977	+	396	0
cds-BAB35063.1	BA000007.3	1638985	1639725	+	741	0
cds-BAB35064.1	BA000007.3	1639741	1640163	+	423	0
cds-BAB35065.1	BA000007.3	1640145	1640579	+	435	0
cds-BAB35066.1	BA000007.3	1640572	1643121	+	2550	0
cds-BAB35067.1	BA000007.3	1643118	1643447	+	330	0
cds-BAB35068.1	BA000007.3	1643447	1644145	+	699	0
cds-BAB35069.1	BA000007.3	1644151	1644894	+	744	0
cds-BAB35070.2	BA000007.3	1644891	1645463	+	573	0
cds-BAB35071.1	BA000007.3	1645524	1648922	+	3399	0
cds-BAB35072.1	BA000007.3	1648989	1649588	+	600	0
cds-BAB35073.1	BA000007.3	1649653	1652568	+	2916	46
cds-BAB35074.1	BA000007.3	1652568	1653149	+	582	70
cds-BAB35075.1	BA000007.3	1653269	1654159	-	891	0
cds-BAB35076.1	BA000007.3	1654178	1654684	-	507	0
cds-BAB35077.1	BA000007.3	1654721	1655221	-	501	0
cds-BAB35078.1	BA000007.3	1655300	1655482	-	183	0
cds-BAB35079.2	BA000007.3	1655980	1656648	-	669	94
cds-BAB35080.1	BA000007.3	1656705	1656953	+	249	7
cds-BAB35081.1	BA000007.3	1657029	1657409	+	381	0
cds-BAB35082.1	BA000007.3	1657406	1657753	+	348	0
cds-BAB35083.1	BA000007.3	1657803	1659341	+	1539	0
cds-BAB35085.1	BA000007.3	1659644	1661128	-	1485	66
cds-BAB35086.1	BA000007.3	1661315	1662268	-	954	14557
cds-BAB35087.1	BA000007.3	1662767	1663351	+	585	0
cds-BAB35088.1	BA000007.3	1663525	1663851	+	327	0
cds-BAB35089.2	BA000007.3	1663851	1664738	+	888	0
cds-ECs_1667	BA000007.3	1664822	1665532	+	711	32
cds-BAB35091.1	BA000007.3	1665904	1666170	-	267	591
cds-BAB35092.1	BA000007.3	1666174	1666986	-	813	1763
cds-BAB35093.1	BA000007.3	1667010	1667705	-	696	1434
cds-BAB35094.1	BA000007.3	1668225	1668593	+	369	426
cds-BAB35095.1	BA000007.3	1668696	1669097	-	402	83
cds-BAB35096.2	BA000007.3	1669168	1669326	+	159	16
cds-BAB35097.2	BA000007.3	1669338	1669631	+	294	377
cds-BAB35098.1	BA000007.3	1669703	1670362	+	660	245
cds-BAB35099.2	BA000007.3	1670454	1670900	+	447	315
cds-BAB35100.2	BA000007.3	1671107	1672018	-	912	39
cds-BAB35101.1	BA000007.3	1672391	1672810	+	420	58
cds-BAB35102.1	BA000007.3	1672810	1674078	+	1269	195
cds-BAB35103.1	BA000007.3	1674124	1674654	-	531	551
cds-BAB35104.1	BA000007.3	1674800	1676341	-	1542	341
cds-BAB35105.1	BA000007.3	1676563	1677282	+	720	1235
cds-BAB35106.1	BA000007.3	1677334	1678866	-	1533	259
cds-BAB35107.1	BA000007.3	1679229	1680527	+	1299	1679
cds-BAB35108.2	BA000007.3	1680537	1681607	+	1071	991
cds-BAB35109.2	BA000007.3	1681999	1683735	-	1737	308
cds-BAB35111.2	BA000007.3	1683831	1684745	-	915	418
cds-BAB35110.2	BA000007.3	1684845	1685456	+	612	516
cds-BAB35112.2	BA000007.3	1685644	1686531	-	888	0
cds-BAB35113.1	BA000007.3	1686531	1686857	-	327	0
cds-ECs_1691	BA000007.3	1686909	1687505	-	597	39
cds-BAB35115.1	BA000007.3	1687706	1687960	+	255	25
cds-BAB35116.1	BA000007.3	1688010	1689980	-	1971	0
cds-BAB35117.1	BA000007.3	1690006	1690860	-	855	0
cds-BAB35119.1	BA000007.3	1691025	1691669	-	645	0
cds-BAB35120.1	BA000007.3	1691679	1692437	-	759	0
cds-BAB35121.1	BA000007.3	1692434	1693414	-	981	0
cds-BAB35122.1	BA000007.3	1693414	1694436	-	1023	0
cds-BBE29418.1	BA000007.3	1694544	1694744	-	201	0
cds-BAB35124.2	BA000007.3	1694772	1696229	-	1458	179
cds-BAB35126.2	BA000007.3	1696776	1698194	-	1419	3063
cds-BAB35127.1	BA000007.3	1698205	1698837	-	633	1250
cds-BAB35128.2	BA000007.3	1698848	1699918	-	1071	2124
cds-ECs_1707	BA000007.3	1700253	1701896	-	1644	124
cds-BAB35131.1	BA000007.3	1702740	1703831	-	1092	2521
cds-BAB35132.1	BA000007.3	1703948	1704532	-	585	562
cds-BAB35133.1	BA000007.3	1704810	1705088	+	279	248
cds-BAB35134.1	BA000007.3	1705143	1706795	-	1653	490
cds-BAB35135.2	BA000007.3	1706947	1707960	-	1014	7320
cds-BAB35136.1	BA000007.3	1708045	1708896	-	852	2545
cds-BAB35137.1	BA000007.3	1708896	1709519	-	624	925
cds-BAB35138.1	BA000007.3	1709733	1710989	+	1257	1994
cds-BAB35139.1	BA000007.3	1711031	1712113	+	1083	1545
cds-BAB35140.1	BA000007.3	1712113	1712946	+	834	569
cds-BAB35141.1	BA000007.3	1712943	1713335	+	393	461
cds-BAB35142.1	BA000007.3	1713339	1714148	+	810	1978
cds-BAB35143.1	BA000007.3	1714184	1715038	+	855	3532
cds-BBE29419.1	BA000007.3	1715186	1715293	-	108	158
cds-BBE29420.1	BA000007.3	1715722	1715829	-	108	210
cds-BAB35144.1	BA000007.3	1716228	1717328	-	1101	160
cds-BAB35145.1	BA000007.3	1717598	1717828	+	231	38
cds-BAB35146.1	BA000007.3	1717965	1718684	+	720	315
cds-BAB35147.1	BA000007.3	1718728	1719081	-	354	477
cds-BAB35148.2	BA000007.3	1719231	1720661	+	1431	288
cds-BAB35149.1	BA000007.3	1720662	1721312	-	651	336
cds-BAB35150.1	BA000007.3	1721305	1723101	-	1797	580
cds-BAB35151.1	BA000007.3	1723440	1724831	+	1392	750
cds-BAB35152.1	BA000007.3	1725224	1728967	+	3744	6086
cds-BAB35153.1	BA000007.3	1728964	1730502	+	1539	2414
cds-BAB35154.1	BA000007.3	1730499	1731209	+	711	760
cds-BAB35155.1	BA000007.3	1731209	1731886	+	678	523
cds-BAB35157.1	BA000007.3	1732964	1733806	-	843	1475
cds-BAB35158.1	BA000007.3	1733856	1734314	-	459	832
cds-BAB35159.1	BA000007.3	1734388	1735332	+	945	777
cds-BAB35160.1	BA000007.3	1735424	1736437	+	1014	624
cds-BAB35161.1	BA000007.3	1736639	1737547	+	909	2600
cds-BAB35162.1	BA000007.3	1737691	1738104	-	414	11457
cds-BAB35163.1	BA000007.3	1738708	1739325	+	618	986
cds-BAB35164.1	BA000007.3	1739626	1742301	-	2676	4154
cds-BAB35165.1	BA000007.3	1742778	1743425	+	648	382
cds-BAB35166.2	BA000007.3	1744118	1745794	+	1677	8140
cds-BAB35167.1	BA000007.3	1745880	1746800	+	921	1407
