# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "4" "-a" "ref/shizo_gff.gff" "-o" "counts/shi_glyc_1_gene_counts.txt" "-t" "CDS" "-g" "ID" "star/shi_glyc_1Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	star/shi_glyc_1Aligned.sortedByCoord.out.bam
cds-CAC19744.1	CU329670.1	1841936	1843681	-	1746	176
cds-CAC19745.1	CU329670.1	1846121	1847890	-	1770	116
cds-CCD31313.1	CU329670.1	1849984	1850358	-	375	7
cds-CAC19746.1	CU329670.1	1852627	1854432	+	1806	68
cds-CAC19749.1	CU329670.1	1855806	1856798	+	993	98
cds-CAC19750.2	CU329670.1	1856893	1860141	-	3249	160
cds-CAC21475.1	CU329670.1	1861934	1862944	+	1011	38
cds-CAC21476.2	CU329670.1;CU329670.1	1863363;1863434	1863381;1863762	+;+	348	8
cds-CBA11497.1	CU329670.1;CU329670.1	1863972;1864415	1864360;1864457	+;+	432	119
cds-CAC21477.1	CU329670.1;CU329670.1	1864673;1864932	1864880;1865608	-;-	885	259
cds-CAC21478.2	CU329670.1	1867135	1868019	+	885	17
cds-CAC21479.1	CU329670.1;CU329670.1	1868252;1871563	1871515;1871850	-;-	3552	337
cds-CAC21480.1	CU329670.1;CU329670.1	1872423;1872522	1872472;1873797	-;-	1326	125
cds-CAC21481.2	CU329670.1;CU329670.1	1876259;1876959	1876886;1877581	+;+	1251	74
cds-CAC21482.1	CU329670.1;CU329670.1	1878362;1878833	1878785;1880604	+;+	2196	400
cds-CAC21483.1	CU329670.1;CU329670.1;CU329670.1	1880879;1881380;1881830	1881325;1881478;1881910	-;-;-	627	293
cds-CAC21484.1	CU329670.1	1882471	1884051	-	1581	156
cds-CAC21485.1	CU329670.1;CU329670.1	1884617;1886078	1885876;1886203	-;-	1386	262
cds-CAC21486.1	CU329670.1	1887685	1889274	+	1590	274
cds-CAC21487.1	CU329670.1	1890920	1891651	+	732	303
cds-CAC21488.3	CU329670.1;CU329670.1;CU329670.1	1892554;1892926;1893116	1892640;1893060;1893694	+;+;+	801	34
cds-CAB86412.2	CU329670.1	1895464	1896291	+	828	232
cds-CAB86413.1	CU329670.1	1897523	1899025	+	1503	1483
cds-CAB86414.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	1900052;1900207;1900329;1900386;1900699	1900165;1900289;1900346;1900637;1901431	+;+;+;+;+	1200	217
cds-CAB86415.1	CU329670.1	1902319	1903206	+	888	74
cds-CAK9837769.1	CU329670.1	1905728	1905820	-	93	2
cds-CAB86416.3	CU329670.1	1908268	1911339	+	3072	244
cds-CAC08560.1	CU329670.1	1912042	1915659	+	3618	417
cds-CAC08561.1	CU329670.1;CU329670.1;CU329670.1	1916108;1916319;1916818	1916155;1916387;1917279	+;+;+	579	249
cds-CAC08562.2	CU329670.1	1917998	1920160	-	2163	848
cds-CAB77003.1	CU329670.1;CU329670.1	1922956;1923193	1923085;1924763	+;+	1701	353
cds-CAB77004.1	CU329670.1;CU329670.1;CU329670.1	1925102;1925177;1925346	1925125;1925273;1925932	+;+;+	708	196
cds-CAB77005.1	CU329670.1	1926739	1927752	+	1014	104
cds-CAB77006.1	CU329670.1	1928018	1928323	-	306	53
cds-CAB77007.2	CU329670.1;CU329670.1	1929048;1931129	1931084;1931164	-;-	2073	359
cds-CAA92255.1	CU329670.1	1931588	1934698	-	3111	400
cds-CAA92256.1	CU329670.1	1935357	1935797	+	441	91
cds-CAA92257.1	CU329670.1;CU329670.1	1936076;1936336	1936234;1937982	-;-	1806	557
cds-CAK9837782.1	CU329670.1;CU329670.1	1938990;1939075	1939004;1940394	+;+	1335	540
cds-CAA92259.1	CU329670.1	1941017	1942786	-	1770	277
cds-CAA92260.1	CU329670.1	1944231	1945202	+	972	390
cds-CAA92261.1	CU329670.1;CU329670.1	1945426;1945893	1945852;1946101	-;-	636	185
cds-CAA92262.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1	1946819;1947060;1947795;1948046	1947011;1947754;1947981;1948941	-;-;-;-	1971	382
cds-CAA92263.1	CU329670.1	1949756	1951000	+	1245	148
cds-CAA92264.1	CU329670.1	1959311	1961059	+	1749	524
cds-CAK9837789.1	CU329670.1	1961710	1965063	-	3354	247
cds-CAA92266.2	CU329670.1;CU329670.1;CU329670.1;CU329670.1	1965173;1965334;1965845;1966102	1965294;1965803;1966050;1966338	+;+;+;+	1035	157
cds-CAA92267.2	CU329670.1	1967022	1967609	+	588	100
cds-CCD31315.1	CU329670.1	1968801	1969046	-	246	19
cds-CAB11500.1	CU329670.1	1969118	1973323	+	4206	618
cds-CAB11499.1	CU329670.1;CU329670.1	1973666;1973816	1973756;1974054	-;-	330	646
cds-CAB11488.1	CU329670.1;CU329670.1;CU329670.1	1975285;1975379;1976206	1975313;1976129;1976550	+;+;+	1125	135
cds-CAB11490.1	CU329670.1;CU329670.1	1979364;1982041	1981957;1982107	-;-	2661	280
cds-CAB11489.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	1976902;1977068;1977262;1977404;1977556;1977651;1978639	1977006;1977191;1977363;1977449;1977601;1978592;1979061	+;+;+;+;+;+;+	1788	575
cds-CAK9837798.1	CU329670.1;CU329670.1	1983182;1984253	1984207;1984438	+;+	1212	305
cds-CAB11492.1	CU329670.1	1984568	1985293	-	726	94
cds-CAK9837800.1	CU329670.1	1985350	1985544	-	195	16
cds-CAB11493.1	CU329670.1;CU329670.1	1985757;1985930	1985873;1987228	+;+	1416	57
cds-CAB11494.2	CU329670.1;CU329670.1	1987363;1987509	1987471;1990975	-;-	3576	590
cds-CAB11495.1	CU329670.1	1991787	1992929	-	1143	234
cds-CAB11496.1	CU329670.1	1993930	1995024	+	1095	113
cds-CAB11497.2	CU329670.1;CU329670.1;CU329670.1;CU329670.1	1995208;1996191;1996325;1996478	1996148;1996268;1996413;1996683	-;-;-;-	1314	95
cds-CAB11498.2	CU329670.1;CU329670.1	1997255;1999250	1999198;1999342	-;-	2037	1176
cds-CAB11210.1	CU329670.1	2000985	2004593	+	3609	614
cds-CAB11211.1	CU329670.1	2004838	2007930	+	3093	232
cds-CAB11212.1	CU329670.1	2008149	2008841	-	693	41
cds-CAK9837810.1	CU329670.1	2009905	2011695	-	1791	294
cds-CAB11214.1	CU329670.1	2012932	2013933	+	1002	329
cds-CAB11215.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1	2014206;2014327;2014599;2015136	2014286;2014551;2015095;2016138	-;-;-;-	1806	468
cds-CAB11216.1	CU329670.1;CU329670.1;CU329670.1	2016385;2016509;2016841	2016456;2016698;2016941	+;+;+	363	172
cds-CAB11217.1	CU329670.1	2018369	2019349	+	981	153
cds-CAB11218.1	CU329670.1;CU329670.1	2019758;2020483	2020411;2020488	-;-	660	175
cds-CAB11219.1	CU329670.1	2021224	2024442	-	3219	713
cds-CAB11220.1	CU329670.1	2025335	2025760	+	426	49
cds-CAB11221.1	CU329670.1	2026163	2026963	-	801	186
cds-CAB11222.1	CU329670.1;CU329670.1;CU329670.1	2027344;2028275;2028698	2028198;2028573;2028752	-;-;-	1209	294
cds-CAB11223.1	CU329670.1	2029229	2030308	-	1080	1037
cds-CAB11225.1	CU329670.1;CU329670.1	2031213;2031667	2031605;2031708	+;+	435	205
cds-CAB11226.1	CU329670.1;CU329670.1;CU329670.1	2032009;2032688;2033132	2032629;2033082;2033228	-;-;-	1113	83
cds-CAB11227.1	CU329670.1	2033638	2033955	-	318	5
cds-CAB11228.1	CU329670.1	2034178	2035650	-	1473	206
cds-CAJ41421.2	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	2036403;2036713;2036864;2037008;2037468;2039116	2036667;2036825;2036959;2037417;2039067;2039520	+;+;+;+;+;+	2889	244
cds-CAB63789.1	CU329670.1;CU329670.1;CU329670.1	2039615;2039932;2040349	2039885;2040300;2040404	-;-;-	696	41
cds-CAB63790.1	CU329670.1;CU329670.1	2040936;2041446	2041295;2041463	-;-	378	329
cds-CAB63791.1	CU329670.1	2042490	2043296	+	807	34
cds-CAB63792.1	CU329670.1;CU329670.1	2043842;2044009	2043954;2045041	+;+	1146	626
cds-CAB63793.1	CU329670.1;CU329670.1;CU329670.1	2045210;2045284;2047094	2045245;2047035;2047144	-;-;-	1839	234
cds-CAB63794.1	CU329670.1	2047699	2048130	-	432	236
cds-CAB63795.1	CU329670.1	2048421	2050160	-	1740	275
cds-CAB63796.1	CU329670.1	2050462	2051652	-	1191	144
cds-CAB63797.1	CU329670.1	2053945	2057031	+	3087	189
cds-CAB62424.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	2057608;2057664;2057728;2057893;2057974;2058337	2057624;2057695;2057837;2057928;2058044;2058559	+;+;+;+;+;+	489	111
cds-CAB62425.1	CU329670.1	2059251	2060477	-	1227	448
cds-CAB62426.2	CU329670.1	2061806	2063641	-	1836	442
cds-CAB16733.1	CU329670.1	2064853	2066004	-	1152	151
cds-CAB16734.1	CU329670.1;CU329670.1	2066668;2067749	2067704;2067764	-;-	1053	143
cds-CAB16735.1	CU329670.1	2068764	2071115	+	2352	555
cds-CAB16736.1	CU329670.1	2071904	2073232	-	1329	680
cds-CAB16737.1	CU329670.1	2074294	2076246	-	1953	138
cds-CAB16746.2	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	2077280;2077424;2077726;2077843;2078421;2078528;2078614	2077384;2077684;2077796;2078366;2078486;2078559;2078730	-;-;-;-;-;-;-	1176	183
cds-CAB16738.1	CU329670.1	2079274	2082447	-	3174	818
cds-CAB16739.1	CU329670.1	2083519	2084808	+	1290	40
cds-CAB16740.1	CU329670.1	2085248	2086114	+	867	183
cds-CAB16741.1	CU329670.1	2086615	2088297	-	1683	953
cds-CAB16742.1	CU329670.1	2089787	2091172	+	1386	278
cds-CAB16743.1	CU329670.1	2091521	2092942	-	1422	753
cds-CAB16744.1	CU329670.1	2094283	2094891	-	609	563
cds-CAB16745.2	CU329670.1	2096382	2097785	-	1404	77
cds-CAA16951.1	CU329670.1	2098281	2101049	-	2769	686
cds-CAA16952.1	CU329670.1	2102782	2103954	+	1173	149
cds-CAC05483.1	CU329670.1;CU329670.1;CU329670.1	2104197;2104650;2105244	2104600;2105046;2105249	-;-;-	807	93
cds-CAC05484.3	CU329670.1	2107940	2110123	+	2184	799
cds-CAC05485.2	CU329670.1	2111433	2113433	+	2001	231
cds-CAC19732.1	CU329670.1	2114011	2114763	+	753	330
cds-CAC19733.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	2115156;2115250;2115338;2116193;2116313	2115200;2115274;2116017;2116255;2116381	-;-;-;-;-	882	146
cds-CAC19734.1	CU329670.1	2116869	2119220	+	2352	126
cds-CAC19735.2	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	2119362;2119614;2119838;2119975;2120096;2120163	2119570;2119789;2119915;2120052;2120119;2120284	-;-;-;-;-;-	687	98
cds-CAC19736.1	CU329670.1	2120604	2122208	-	1605	91
cds-CAC19737.1	CU329670.1;CU329670.1	2123290;2123452	2123356;2124449	+;+	1065	211
cds-CAC19738.1	CU329670.1	2124992	2125804	+	813	50
cds-CAC19739.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	2126067;2126201;2126327;2126440;2126733;2127551;2127701;2127912;2128271	2126157;2126278;2126391;2126696;2127504;2127652;2127869;2128232;2128359	+;+;+;+;+;+;+;+;+	1944	262
cds-CAC19740.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1	2128463;2128523;2129313;2131550	2128480;2129266;2131509;2131623	+;+;+;+	3033	654
cds-CAC19741.1	CU329670.1;CU329670.1	2131895;2132545	2132426;2132615	-;-	603	98
cds-CAB11154.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	2133439;2133782;2134150;2134376;2134574	2133702;2134096;2134335;2134488;2135021	+;+;+;+;+	1326	169
cds-CAB11155.1	CU329670.1	2135357	2135788	-	432	879
cds-CAB11156.1	CU329670.1	2136145	2137941	+	1797	294
cds-CAB11157.2	CU329670.1;CU329670.1;CU329670.1;CU329670.1	2138064;2138267;2138449;2138898	2138210;2138409;2138844;2139438	-;-;-;-	1227	48
cds-CAB11158.1	CU329670.1	2140529	2141398	+	870	231
cds-CAB11159.1	CU329670.1	2141684	2143291	-	1608	2721
cds-CAB11160.1	CU329670.1	2144894	2145226	+	333	6
cds-CAB11161.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1	2145681;2145927;2146043;2146326	2145779;2145987;2146170;2146388	+;+;+;+	351	54
cds-CAB11162.1	CU329670.1	2147202	2150081	+	2880	1184
cds-CAB11163.2	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	2150624;2150784;2150930;2151180;2151386	2150744;2150882;2151128;2151342;2151601	+;+;+;+;+	798	48
cds-CAB11164.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	2152154;2152260;2152699;2153073;2153468	2152199;2152540;2153011;2153374;2153524	+;+;+;+;+	999	535
cds-CAB11170.1	CU329670.1	2154795	2155037	+	243	26
cds-CAB11165.1	CU329670.1;CU329670.1	2155562;2156323	2156048;2156456	-;-	621	118
cds-CAB11166.1	CU329670.1	2158812	2159975	+	1164	305
cds-CAB11171.1	CU329670.1;CU329670.1;CU329670.1	2160572;2160649;2160908	2160602;2160829;2163923	+;+;+	3228	323
cds-CAB11167.1	CU329670.1	2164240	2166291	+	2052	318
cds-CAK9837883.1	CU329670.1;CU329670.1	2167206;2167302	2167245;2168683	+;+	1422	186
cds-CAB11169.2	CU329670.1;CU329670.1;CU329670.1	2169185;2169308;2169438	2169267;2169392;2172095	-;-;-	2826	143
cds-CAB11765.1	CU329670.1;CU329670.1	2172530;2173425	2173383;2173752	-;-	1182	325
cds-CAB11766.1	CU329670.1	2175008	2176360	-	1353	2415
cds-CAB11767.2	CU329670.1;CU329670.1;CU329670.1;CU329670.1	2177582;2178693;2179020;2179380	2178355;2178887;2179117;2179482	-;-;-;-	1170	136
cds-CAB11768.2	CU329670.1	2180072	2181163	+	1092	91
cds-CAB11769.2	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	2181567;2181767;2181925;2184189;2184314	2181723;2181868;2183959;2184267;2184376	-;-;-;-;-	2436	287
cds-CAB11770.2	CU329670.1;CU329670.1	2184865;2185472	2185282;2185551	-;-	498	160
cds-CAB66164.1	CU329670.1	2187554	2189305	+	1752	145
cds-CAB66165.2	CU329670.1;CU329670.1;CU329670.1;CU329670.1	2189507;2189907;2190245;2190697	2189845;2190180;2190509;2190721	-;-;-;-	903	89
cds-CAB66166.1	CU329670.1	2191008	2192063	+	1056	21
cds-CAB66167.1	CU329670.1;CU329670.1	2192109;2193289	2193163;2193481	-;-	1248	212
cds-CAB66168.1	CU329670.1	2195017	2199138	+	4122	609
cds-CAB66169.1	CU329670.1;CU329670.1;CU329670.1	2199448;2199625;2199826	2199570;2199761;2199964	-;-;-	399	19
cds-CAB66170.1	CU329670.1	2200589	2202247	-	1659	525
cds-CAB66171.1	CU329670.1	2203741	2204346	-	606	461
cds-CAB66172.2	CU329670.1	2205162	2208095	-	2934	426
cds-CAA92381.1	CU329670.1	2209896	2210675	-	780	259
cds-CAA92382.1	CU329670.1	2210977	2213859	-	2883	205
cds-CAA92383.1	CU329670.1;CU329670.1;CU329670.1	2215815;2216486;2216621	2216241;2216566;2216757	+;+;+	645	338
cds-CAA92384.2	CU329670.1;CU329670.1	2217187;2218716	2218569;2218799	-;-	1467	441
cds-CAA92385.1	CU329670.1;CU329670.1	2219255;2227193	2227119;2227340	-;-	8013	1602
cds-CAA92386.1	CU329670.1	2229015	2229764	+	750	123
cds-CAA92394.1	CU329670.1	2230333	2231412	-	1080	205
cds-CAA92387.1	CU329670.1	2233149	2234087	-	939	359
cds-CAA92388.1	CU329670.1	2234598	2236664	+	2067	221
cds-CAA92389.1	CU329670.1	2236996	2238795	-	1800	257
cds-CAA92390.1	CU329670.1	2239501	2240430	-	930	55
cds-CAA92391.1	CU329670.1	2241013	2241357	+	345	40
cds-CAA92393.1	CU329670.1	2241936	2242523	-	588	1085
cds-CAA92392.1	CU329670.1;CU329670.1	2243636;2243738	2243677;2244622	+;+	927	137
cds-CAA93541.1	CU329670.1	2245786	2247081	+	1296	87
cds-CAA93542.1	CU329670.1	2247943	2248482	-	540	237
cds-CAA93543.1	CU329670.1;CU329670.1	2250372;2251027	2250977;2251107	-;-	687	39
cds-CAA93544.1	CU329670.1;CU329670.1;CU329670.1	2251500;2252821;2252981	2252770;2252912;2253189	-;-;-	1572	251
cds-CAB59431.2	CU329670.1	2253468	2254172	+	705	318
cds-CAA93552.1	CU329670.1	2254588	2255568	+	981	124
cds-CAA93554.1	CU329670.1;CU329670.1	2256857;2258672	2258623;2258821	-;-	1917	238
cds-CAA93553.1	CU329670.1	2255935	2256597	+	663	139
cds-CAA93556.1	CU329670.1;CU329670.1;CU329670.1	2261963;2262195;2262387	2262129;2262340;2262415	-;-;-	342	119
cds-CAA93555.1	CU329670.1;CU329670.1;CU329670.1	2259943;2260779;2261355	2260707;2261312;2261801	+;+;+	1746	143
cds-CAA93557.1	CU329670.1	2263667	2265208	+	1542	35
cds-CAA93558.1	CU329670.1	2266025	2269522	-	3498	396
cds-CAA93559.1	CU329670.1	2270019	2272676	-	2658	924
cds-CAA93560.1	CU329670.1	2274012	2274995	+	984	148
cds-CAK9837928.1	CU329670.1	2275578	2276177	-	600	68
cds-CAA93562.1	CU329670.1	2277199	2277780	+	582	1173
cds-CAA93563.1	CU329670.1;CU329670.1	2278242;2279091	2278994;2279234	-;-	897	300
cds-CAA93564.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	2280423;2280492;2280860;2280992;2281168;2281308	2280442;2280766;2280882;2281120;2281239;2281454	+;+;+;+;+;+	666	95
cds-CAA93565.1	CU329670.1;CU329670.1;CU329670.1	2282230;2282303;2282483	2282242;2282433;2283364	+;+;+	1026	358
cds-CAA93566.1	CU329670.1	2283637	2284209	-	573	1056
cds-CAA93567.1	CU329670.1;CU329670.1	2284503;2284845	2284717;2285793	-;-	1164	143
cds-CAA93569.1	CU329670.1	2287377	2288189	+	813	6
cds-CAA93570.2	CU329670.1;CU329670.1	2288689;2289948	2289546;2289986	-;-	897	74
cds-CBA11498.1	CU329670.1	2292013	2292297	+	285	80
cds-CAA93571.2	CU329670.1;CU329670.1;CU329670.1;CU329670.1	2292801;2293137;2293811;2294940	2293088;2293754;2294893;2295116	-;-;-;-	2166	222
cds-CAA93590.1	CU329670.1	2295819	2297753	-	1935	528
cds-CAA93591.1	CU329670.1;CU329670.1;CU329670.1	2298979;2299193;2299350	2299133;2299299;2299924	+;+;+	837	33
cds-CAA93592.1	CU329670.1	2300522	2302792	-	2271	502
cds-CAA93593.1	CU329670.1	2305345	2306958	+	1614	82
cds-CAA93594.1	CU329670.1	2307729	2308529	+	801	49
cds-CAA93595.4	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	2309026;2309259;2309610;2309714;2309998;2310130	2309212;2309569;2309667;2309946;2310088;2310215	+;+;+;+;+;+	966	32
cds-CAA93596.1	CU329670.1;CU329670.1;CU329670.1	2310386;2310561;2311694	2310517;2311571;2311891	-;-;-	1341	195
cds-CAA93597.1	CU329670.1	2312618	2313025	-	408	52
cds-CAA93598.1	CU329670.1;CU329670.1;CU329670.1	2313746;2314049;2314190	2313961;2314131;2315063	+;+;+	1173	107
cds-CAA93599.2	CU329670.1;CU329670.1;CU329670.1	2315187;2315386;2315701	2315349;2315599;2316133	+;+;+	810	170
cds-CAA93600.1	CU329670.1	2316467	2317837	-	1371	85
cds-CAA93601.2	CU329670.1	2318638	2320239	-	1602	55
cds-CAA93615.1	CU329670.1	2324645	2325163	-	519	108
cds-CAB40279.1	CU329670.1	2326332	2326634	-	303	0
cds-CAA93617.3	CU329670.1;CU329670.1	2327861;2328647	2327862;2330096	+;+	1452	2362
cds-CAB40280.1	CU329670.1	2331155	2331964	+	810	21
cds-CAA93618.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1	2332120;2332306;2332437;2332605	2332256;2332385;2332563;2335362	-;-;-;-	3102	569
cds-CAA93619.1	CU329670.1	2336034	2337581	+	1548	59
cds-CAA93620.1	CU329670.1;CU329670.1	2338175;2338418	2338279;2339017	+;+	705	119
cds-CAB40281.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	2339884;2340021;2340219;2340392;2340991	2339976;2340168;2340275;2340950;2341141	+;+;+;+;+	1008	85
cds-CAK9837959.1	CU329670.1;CU329670.1	2341346;2343703	2343703;2343756	-;-	2411	350
cds-CAA93685.1	CU329670.1	2344815	2345807	+	993	91
cds-CAA93686.1	CU329670.1	2346432	2347031	-	600	43
cds-CCD31317.1	CU329670.1;CU329670.1;CU329670.1	2348008;2348209;2348425	2348088;2348322;2348451	+;+;+	222	27
cds-CAA93687.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1	2348552;2348705;2349008;2349125	2348614;2348881;2349080;2349270	-;-;-;-	459	206
cds-CAA93688.2	CU329670.1;CU329670.1;CU329670.1	2350327;2350383;2350541	2350340;2350471;2351019	+;+;+	582	49
cds-CAA93689.1	CU329670.1	2351371	2353167	-	1797	1164
cds-CAA93690.1	CU329670.1	2354401	2355054	+	654	85
cds-CAA93691.1	CU329670.1;CU329670.1	2355348;2356426	2356154;2356482	-;-	864	312
cds-CAD99132.2	CU329670.1;CU329670.1;CU329670.1	2357361;2357576;2357763	2357468;2357697;2357931	+;+;+	399	34
cds-CAA93693.1	CU329670.1	2358570	2359373	-	804	151
cds-CAA93694.1	CU329670.1	2360443	2361513	-	1071	282
cds-CAA93695.1	CU329670.1	2363568	2365394	+	1827	316
cds-CAA93696.1	CU329670.1;CU329670.1;CU329670.1	2365447;2366175;2366381	2366127;2366264;2366833	-;-;-	1224	739
cds-CAA93697.2	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	2367405;2367542;2367767;2368000;2368257	2367496;2367725;2367955;2368201;2370556	-;-;-;-;-	2967	491
cds-CAA93603.2	CU329670.1;CU329670.1;CU329670.1	2371752;2371877;2372103	2371809;2371965;2372372	+;+;+	417	35
cds-CAA93604.2	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	2373144;2373303;2373413;2373626;2373792;2374002;2376280	2373263;2373376;2373583;2373744;2373961;2376223;2376385	-;-;-;-;-;-;-	2982	508
cds-CAA93605.1	CU329670.1;CU329670.1;CU329670.1	2377355;2377582;2377765	2377515;2377652;2378456	+;+;+	924	27
cds-CAA93606.1	CU329670.1;CU329670.1	2378728;2380172	2380026;2380243	-;-	1371	367
cds-CAA93607.1	CU329670.1	2381320	2381601	-	282	0
cds-CAB57404.1	CU329670.1	2381730	2381882	+	153	61
cds-CAA93608.1	CU329670.1;CU329670.1	2383172;2383234	2383180;2384835	+;+	1611	390
cds-CAA93609.1	CU329670.1;CU329670.1	2385907;2387322	2387265;2387441	+;+	1479	130
cds-CAA93610.1	CU329670.1	2387733	2389673	+	1941	222
cds-CAA93613.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	2390086;2390279;2390590;2390736;2391055	2390240;2390547;2390689;2391011;2391790	+;+;+;+;+	1536	72
cds-CAA93611.1	CU329670.1	2392370	2394259	-	1890	755
cds-CAA93612.1	CU329670.1;CU329670.1	2395415;2396701	2396615;2396822	-;-	1323	612
cds-CAA92378.1	CU329670.1;CU329670.1	2397450;2397879	2397823;2398188	-;-	684	2
cds-CAA92379.1	CU329670.1;CU329670.1;CU329670.1	2399421;2399529;2400517	2399487;2400462;2400535	+;+;+	1020	188
cds-CAA92380.3	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	2400960;2401146;2401300;2401441;2401566	2401067;2401247;2401371;2401523;2401572	-;-;-;-;-	372	90
cds-CAB53053.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1	2402301;2402544;2403560;2404367	2402493;2403510;2404250;2404606	-;-;-;-	2091	733
cds-CAB53054.2	CU329670.1;CU329670.1;CU329670.1	2406664;2406746;2406866	2406687;2406805;2407951	+;+;+	1170	234
cds-CAB11064.1	CU329670.1	2408304	2413970	-	5667	685
cds-CAB11065.1	CU329670.1	2414229	2415137	-	909	92
cds-CAB11066.1	CU329670.1	2416782	2418047	-	1266	184
cds-CAO77639.1	CU329670.1	2416385	2416606	+	222	202
cds-CAB11067.1	CU329670.1	2418732	2419619	-	888	139
cds-CAB11068.2	CU329670.1	2420488	2420841	-	354	33
cds-CAB11077.2	CU329670.1	2421791	2423203	-	1413	286
cds-CAB11069.1	CU329670.1;CU329670.1	2426191;2426414	2426279;2427467	+;+	1143	176
cds-CCD31318.1	CU329670.1	2427533	2427775	-	243	33
cds-CAB11070.1	CU329670.1	2428020	2428934	+	915	195
cds-CAB11078.1	CU329670.1;CU329670.1	2429169;2430544	2430459;2430617	-;-	1365	197
cds-CAB11071.1	CU329670.1;CU329670.1;CU329670.1	2430998;2431184;2431857	2431127;2431816;2432107	+;+;+	1014	65
cds-CAB11072.1	CU329670.1	2433392	2435269	+	1878	2065
cds-CAB11074.1	CU329670.1	2436999	2437463	-	465	91
cds-CAB11073.1	CU329670.1;CU329670.1	2436049;2436467	2436241;2436588	+;+	315	148
cds-CAB11079.1	CU329670.1;CU329670.1;CU329670.1	2439532;2439855;2440507	2439657;2440253;2440926	+;+;+	945	2513
cds-CAB11075.1	CU329670.1;CU329670.1	2442689;2443741	2443634;2443829	+;+	1035	20
cds-CAB11076.2	CU329670.1;CU329670.1	2443986;2445002	2444921;2445031	-;-	966	818
cds-CAA93698.1	CU329670.1;CU329670.1;CU329670.1	2445280;2445473;2446052	2445412;2445968;2447585	+;+;+	2163	326
cds-CAA93699.1	CU329670.1	2447948	2450503	-	2556	3144
cds-CAA93700.1	CU329670.1	2452719	2455547	-	2829	434
cds-CAB11651.1	CU329670.1	2457658	2459751	-	2094	912
cds-CAB11650.1	CU329670.1	2460340	2460957	-	618	123
cds-CAB11649.1	CU329670.1	2461349	2462134	-	786	167
cds-CAB11648.1	CU329670.1	2462726	2464951	-	2226	257
cds-CAB11647.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1	2465348;2465446;2465878;2466113	2465405;2465835;2466069;2466213	+;+;+;+	741	112
cds-CAB11646.1	CU329670.1	2466495	2467259	-	765	127
cds-CAB11645.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1	2467945;2468043;2468195;2468292	2468000;2468144;2468254;2468319	-;-;-;-	246	15
cds-CAB11644.1	CU329670.1	2468794	2471943	-	3150	457
cds-CCD31319.1	CU329670.1;CU329670.1	2472594;2472861	2472749;2472902	-;-	198	210
cds-CAB11643.1	CU329670.1	2474717	2475586	+	870	106
cds-CAK9838022.1	CU329670.1	2475966	2477096	-	1131	212
cds-CAB11641.1	CU329670.1	2478119	2479951	+	1833	382
cds-CAB11640.3	CU329670.1;CU329670.1	2480147;2481978	2481645;2482110	-;-	1632	793
cds-CAB11639.1	CU329670.1;CU329670.1;CU329670.1	2482966;2484091;2484723	2484045;2484666;2484746	-;-;-	1680	340
cds-CAB11638.1	CU329670.1;CU329670.1	2485198;2485636	2485537;2488937	-;-	3642	1196
cds-CAB11637.2	CU329670.1	2490863	2494111	+	3249	237
cds-CAB40798.2	CU329670.1;CU329670.1;CU329670.1;CU329670.1	2494814;2494896;2495214;2495309	2494856;2495142;2495267;2495318	-;-;-;-	354	118
