# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "4" "-a" "ref/shizo_gff.gff" "-o" "counts/shi_gluc_1_gene_counts.txt" "-t" "CDS" "-g" "ID" "star/shi_gluc_1Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	star/shi_gluc_1Aligned.sortedByCoord.out.bam
cds-CAB11687.1	CU329670.1	2992657	2993115	+	459	556
cds-CAB11688.1	CU329670.1	2993498	2994586	+	1089	1221
cds-CAB11689.1	CU329670.1;CU329670.1	2995039;2995734	2995688;2995770	-;-	687	1183
cds-CAB11690.2	CU329670.1;CU329670.1	2996304;2996454	2996403;2997058	+;+	705	10
cds-CAB11691.2	CU329670.1	2997453	2998157	+	705	35
cds-CAB11692.1	CU329670.1	2999088	2999843	+	756	254
cds-CAB11693.1	CU329670.1	2999850	3000968	-	1119	407
cds-CAB11694.1	CU329670.1	3002057	3003766	+	1710	256
cds-CAB11695.1	CU329670.1	3006138	3006845	+	708	931
cds-CAB75348.3	CU329670.1;CU329670.1;CU329670.1	3008184;3009160;3009312	3008795;3009258;3009317	-;-;-	717	90
cds-CAB75349.1	CU329670.1	3010087	3010443	+	357	44
cds-CAB11697.1	CU329670.1	3010979	3011905	+	927	656
cds-CAB11698.1	CU329670.1	3012593	3013756	+	1164	96
cds-CAB11699.2	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	3014466;3014595;3014720;3015007;3015515;3016601;3016826;3017011	3014555;3014663;3014947;3015472;3016560;3016775;3016967;3017698	+;+;+;+;+;+;+;+	2904	301
cds-CAB11700.1	CU329670.1;CU329670.1	3017927;3018199	3018073;3018762	-;-	711	438
cds-CAB11701.1	CU329670.1;CU329670.1	3019652;3020230	3020010;3020305	-;-	435	850
cds-CAB11702.1	CU329670.1	3020942	3021733	-	792	147
cds-CAB11703.1	CU329670.1	3024418	3027990	+	3573	713
cds-CAB11704.2	CU329670.1;CU329670.1;CU329670.1;CU329670.1	3028233;3028570;3029972;3030272	3028520;3029905;3030188;3030323	-;-;-;-	1893	838
cds-CAC34406.1	CU329670.1	3033581	3033916	-	336	3
cds-CAB57433.1	CU329670.1	3034882	3036816	+	1935	859
cds-CAB57434.2	CU329670.1;CU329670.1	3037718;3037920	3037877;3039565	+;+	1806	132
cds-CAB11259.1	CU329670.1;CU329670.1	3039710;3040088	3039995;3040452	-;-	651	269
cds-CAB11260.1	CU329670.1	3041282	3042463	+	1182	462
cds-CAB71272.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1	3042800;3042872;3043096;3043225	3042817;3042909;3043157;3043307	-;-;-;-	201	88
cds-CAB11261.1	CU329670.1	3044351	3044716	+	366	148
cds-CAB11262.1	CU329670.1	3045121	3047313	-	2193	537
cds-CAB11263.2	CU329670.1;CU329670.1	3048409;3051375	3050745;3051407	-;-	2370	7396
cds-CAB11264.2	CU329670.1	3053598	3059282	-	5685	465
cds-CAB11265.1	CU329670.1	3061611	3063401	+	1791	1364
cds-CAB11266.2	CU329670.1	3063767	3065191	+	1425	177
cds-CAB11267.1	CU329670.1	3065418	3066209	-	792	147
cds-CAB11268.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1	3066588;3066707;3068414;3068782	3066657;3068370;3068734;3069054	+;+;+;+	2328	232
cds-CAB11269.1	CU329670.1	3069614	3071017	-	1404	2308
cds-CAB11270.1	CU329670.1;CU329670.1	3071685;3071804	3071750;3072004	-;-	267	58
cds-CAB11271.1	CU329670.1	3073178	3074167	+	990	205
cds-CAB11273.1	CU329670.1;CU329670.1;CU329670.1	3074467;3074772;3075429	3074719;3075353;3075988	-;-;-	1395	94
cds-CAB10002.1	CU329670.1	3077676	3080168	+	2493	103
cds-CAB09996.4	CU329670.1;CU329670.1;CU329670.1;CU329670.1	3081568;3083902;3084125;3084230	3083850;3084081;3084190;3084244	-;-;-;-	2544	232
cds-CAB10003.1	CU329670.1;CU329670.1	3081012;3081155	3081104;3081472	+;+	411	159
cds-CAD86931.2	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	3087038;3087127;3087230;3087384;3087704;3087895	3087071;3087168;3087276;3087587;3087838;3088044	+;+;+;+;+;+	612	176
cds-CAB09998.2	CU329670.1	3089053	3089325	-	273	8
cds-CAJ01913.3	CU329670.1;CU329670.1;CU329670.1	3089583;3090163;3090533	3090047;3090285;3090697	-;-;-	753	71
cds-CAB10000.1	CU329670.1	3091237	3093228	-	1992	256
cds-CAB10001.2	CU329670.1;CU329670.1	3093973;3094229	3094173;3094885	-;-	858	48
cds-CAK9838287.1	CU329670.1;CU329670.1	3095075;3098626	3098590;3098667	-;-	3558	150
cds-CAC19760.1	CU329670.1;CU329670.1	3099261;3099483	3099419;3099830	-;-	507	27
cds-CAC19761.1	CU329670.1;CU329670.1	3100107;3100747	3100667;3101001	+;+	816	89
cds-CAC19762.1	CU329670.1;CU329670.1;CU329670.1	3101297;3102283;3102478	3102149;3102431;3102516	-;-;-	1041	116
cds-CAC19763.1	CU329670.1;CU329670.1	3102969;3103708	3103565;3103719	-;-	609	938
cds-CAC19764.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	3104343;3104433;3105219;3105441;3105613;3105871	3104364;3105153;3105378;3105547;3105686;3105908	-;-;-;-;-;-	1122	82
cds-CAC19765.1	CU329670.1	3106374	3106841	-	468	42
cds-CAC19766.1	CU329670.1	3106840	3108006	+	1167	74
cds-CAC19767.1	CU329670.1	3108428	3108880	-	453	2371
cds-CAC19768.1	CU329670.1;CU329670.1	3109174;3109606	3109312;3110015	+;+	549	0
cds-CAC19769.2	CU329670.1;CU329670.1	3110201;3110508	3110323;3113300	+;+	2916	343
cds-CAB90769.1	CU329670.1;CU329670.1;CU329670.1	3113565;3114129;3114363	3113999;3114276;3114412	-;-;-	633	68
cds-CAB90770.2	CU329670.1;CU329670.1	3114616;3115103	3114973;3115326	-;-	582	115
cds-CAB90771.3	CU329670.1	3116067	3116795	-	729	344
cds-CAB90772.1	CU329670.1;CU329670.1	3117657;3118947	3118862;3119000	-;-	1260	63
cds-CAB90773.1	CU329670.1	3119379	3122495	-	3117	882
cds-CAK9838303.1	CU329670.1;CU329670.1;CU329670.1	3123163;3125118;3126356	3125118;3126310;3126653	+;+;+	3446	338
cds-CAK9838304.1	CU329670.1;CU329670.1	3127689;3127862	3127813;3128780	+;+	1044	159
cds-CAB90776.1	CU329670.1	3129878	3134320	+	4443	193
cds-CAB90777.2	CU329670.1	3135125	3138433	+	3309	1344
cds-CAB90778.1	CU329670.1	3138722	3139225	-	504	195
cds-CAB90779.1	CU329670.1	3139724	3140731	+	1008	47
cds-CAB90780.2	CU329670.1;CU329670.1;CU329670.1;CU329670.1	3141463;3141652;3142396;3142719	3141603;3142329;3142667;3143034	+;+;+;+	1407	148
cds-CBA11501.1	CU329670.1;CU329670.1	3143922;3144125	3144046;3144329	+;+	330	92
cds-CAB90781.1	CU329670.1;CU329670.1	3145214;3145298	3145250;3145728	+;+	468	106
cds-CAA15924.1	CU329670.1	3145867	3146559	+	693	215
cds-CAA15923.1	CU329670.1	3147207	3149507	-	2301	580
cds-CAA15922.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	3151326;3151789;3151952;3152134;3152328	3151625;3151869;3152079;3152255;3152782	+;+;+;+;+	1086	125
cds-CAA15921.1	CU329670.1;CU329670.1;CU329670.1	3152779;3157130;3157240	3157050;3157197;3157288	-;-;-	4389	232
cds-CAA15920.1	CU329670.1	3160230	3161942	+	1713	192
cds-CCD31324.1	CU329670.1;CU329670.1;CU329670.1	3162319;3162523;3162670	3162443;3162611;3162854	-;-;-	399	17
cds-CAA15919.1	CU329670.1;CU329670.1;CU329670.1	3163221;3163272;3163423	3163223;3163311;3164108	+;+;+	729	147
cds-CAA15918.1	CU329670.1;CU329670.1;CU329670.1	3166456;3166588;3166865	3166525;3166758;3167544	+;+;+	921	1409
cds-CAA15917.1	CU329670.1	3168191	3169042	-	852	59
cds-CAA15916.1	CU329670.1	3170110	3171414	+	1305	131
cds-CAA15915.1	CU329670.1;CU329670.1;CU329670.1	3171584;3172768;3173052	3172699;3172857;3173345	-;-;-	1500	1438
cds-CAA15914.1	CU329670.1;CU329670.1;CU329670.1	3173946;3175778;3175993	3175729;3175906;3176059	-;-;-	1980	145
cds-CAA15913.1	CU329670.1;CU329670.1	3176488;3177048	3176998;3177130	-;-	594	40
cds-CAA15912.1	CU329670.1;CU329670.1	3179462;3179821	3179709;3179992	-;-	420	1461
cds-CAA15911.1	CU329670.1	3180426	3181136	-	711	80
cds-CAB38630.1	CU329670.1	3181639	3183027	-	1389	28
cds-CAB62411.1	CU329670.1;CU329670.1	3185470;3185701	3185577;3186249	+;+	657	793
cds-CAB62412.1	CU329670.1;CU329670.1;CU329670.1	3186754;3187811;3188049	3187722;3187941;3188067	-;-;-	1119	145
cds-CAB62413.1	CU329670.1	3188398	3190791	-	2394	367
cds-CAB62414.1	CU329670.1	3191532	3196715	-	5184	393
cds-CAK9838332.1	CU329670.1;CU329670.1	3197028;3197529	3197529;3202450	+;+	5423	2633
cds-CCD31325.1	CU329670.1;CU329670.1	3202780;3202877	3202833;3203137	+;+	315	137
cds-CAB62416.1	CU329670.1	3204361	3205593	+	1233	353
cds-CAB62417.1	CU329670.1	3206100	3206534	-	435	45
cds-CAB62418.1	CU329670.1;CU329670.1	3207520;3207870	3207750;3207980	+;+	342	110
cds-CAB62419.1	CU329670.1;CU329670.1	3209901;3210318	3210102;3211282	+;+	1167	194
cds-CAB62420.2	CU329670.1	3211979	3214306	+	2328	203
cds-CAB11288.1	CU329670.1	3214690	3218067	-	3378	546
cds-CAB11289.1	CU329670.1	3218952	3220238	-	1287	562
cds-CAB11290.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1	3221056;3221795;3221949;3222123	3221620;3221898;3222079;3222141	-;-;-;-	819	1060
cds-CAB11291.1	CU329670.1;CU329670.1;CU329670.1	3222505;3222848;3226078	3222782;3226036;3226243	-;-;-	3633	823
cds-CAB11292.1	CU329670.1;CU329670.1;CU329670.1	3226929;3227042;3227456	3226980;3227383;3228192	+;+;+	1131	18
cds-CAB11293.1	CU329670.1;CU329670.1	3228533;3228833	3228783;3230924	+;+	2343	459
cds-CAB11294.2	CU329670.1	3231536	3232855	+	1320	1201
cds-CAB11295.1	CU329670.1;CU329670.1	3233670;3233958	3233907;3236146	+;+	2427	1371
cds-CAB11296.1	CU329670.1	3236417	3237001	-	585	48
cds-CAB11297.1	CU329670.1	3237910	3238362	-	453	3580
cds-CAB11298.1	CU329670.1	3239366	3240967	-	1602	339
cds-CAB03603.2	CU329670.1;CU329670.1;CU329670.1	3241563;3241655;3242152	3241570;3241753;3242332	-;-;-	288	70
cds-CAB03604.1	CU329670.1	3243258	3245225	-	1968	418
cds-CAB03605.2	CU329670.1;CU329670.1;CU329670.1	3246488;3246957;3247626	3246912;3247580;3247707	-;-;-	1131	91
cds-CAB03606.1	CU329670.1	3248598	3252554	+	3957	184
cds-CAB03607.1	CU329670.1	3253513	3254370	+	858	76
cds-CAB03608.1	CU329670.1	3254539	3258165	-	3627	187
cds-CAB03609.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1	3258572;3258930;3259184;3259442	3258748;3259053;3259386;3259444	-;-;-;-	507	468
cds-CAB03610.2	CU329670.1	3259701	3261107	+	1407	574
cds-CAB03611.1	CU329670.1	3261471	3261920	-	450	865
cds-CAB03612.1	CU329670.1	3262462	3267525	-	5064	660
cds-CAB03613.1	CU329670.1;CU329670.1	3268311;3268577	3268512;3268740	+;+	366	474
cds-CAB03614.1	CU329670.1	3270235	3272097	+	1863	806
cds-CAK10697.1	CU329670.1;CU329670.1	3272150;3272417	3272265;3272699	-;-	399	26
cds-CAB03616.1	CU329670.1;CU329670.1	3274135;3275925	3275874;3276230	+;+	2046	268
cds-CAB03617.1	CU329670.1	3276651	3278147	-	1497	156
cds-CAB03602.2	CU329670.1;CU329670.1;CU329670.1;CU329670.1	3278951;3279420;3279683;3279865	3279367;3279539;3279819;3279985	-;-;-;-	795	110
cds-CAC36918.1	CU329670.1	3282214	3282705	-	492	72
cds-CAB90589.1	CU329670.1;CU329670.1	3281408;3281584	3281514;3281803	+;+	327	25
cds-CAC36919.1	CU329670.1;CU329670.1;CU329670.1	3283195;3285357;3285554	3285298;3285508;3285745	-;-;-	2448	385
cds-CAC36920.1	CU329670.1;CU329670.1	3286602;3286747	3286667;3288456	+;+	1776	283
cds-CAC36921.1	CU329670.1	3288801	3292511	-	3711	1547
cds-CAK9838371.1	CU329670.1;CU329670.1	3293630;3293951	3293646;3297341	+;+	3408	1114
cds-CAC36923.2	CU329670.1;CU329670.1;CU329670.1	3297520;3299633;3299781	3299548;3299724;3299867	-;-;-	2208	70
cds-CAC36924.1	CU329670.1	3303630	3309965	+	6336	3432
cds-CAC36925.1	CU329670.1	3310671	3312335	-	1665	315
cds-CAC36926.1	CU329670.1	3313641	3315860	+	2220	1022
cds-CAC36928.1	CU329670.1	3317673	3318632	-	960	110
cds-CAC36927.1	CU329670.1	3316924	3317313	+	390	76
cds-CAC36929.1	CU329670.1	3319260	3319979	+	720	730
cds-CBA11502.1	CU329670.1;CU329670.1;CU329670.1	3321979;3322071;3322379	3322018;3322331;3322512	+;+;+	435	65
cds-CAC36930.2	CU329670.1	3322913	3324478	-	1566	157
cds-CAB86345.1	CU329670.1	3325647	3326138	-	492	49
cds-CAB86346.1	CU329670.1	3326898	3327809	+	912	336
cds-CAB86347.1	CU329670.1	3327940	3329007	-	1068	104
cds-CAB86348.1	CU329670.1	3329362	3330936	+	1575	205
cds-CAB86349.2	CU329670.1	3332669	3334270	+	1602	3130
cds-CAA93225.1	CU329670.1;CU329670.1;CU329670.1	3334992;3335687;3335924	3335587;3335880;3336519	+;+;+	1386	160
cds-CAA93226.1	CU329670.1	3336520	3337227	-	708	69
cds-CAA93227.1	CU329670.1	3337748	3338278	+	531	2677
cds-CAA93228.1	CU329670.1;CU329670.1;CU329670.1	3339136;3339218;3339348	3339177;3339291;3344232	+;+;+	5001	5813
cds-CAA93229.1	CU329670.1;CU329670.1;CU329670.1	3344784;3344871;3345031	3344819;3344908;3345763	+;+;+	807	78
cds-CAA93230.1	CU329670.1	3346335	3346859	-	525	1180
cds-CAA93231.1	CU329670.1;CU329670.1	3347053;3347121	3347055;3347561	+;+	444	153
cds-CAK9838393.1	CU329670.1	3348569	3352258	-	3690	326
cds-CAA93233.1	CU329670.1;CU329670.1;CU329670.1	3352515;3352569;3352985	3352530;3352693;3355615	+;+;+	2772	550
cds-CAA93235.1	CU329670.1	3357917	3360892	-	2976	566
cds-CAA93234.1	CU329670.1;CU329670.1	3356732;3357129	3357079;3357749	+;+	969	436
cds-CAA93236.1	CU329670.1	3361547	3365548	-	4002	0
cds-CAA93237.1	CU329670.1;CU329670.1;CU329670.1	3366743;3366932;3367054	3366872;3367020;3367056	-;-;-	222	76
cds-CAA93238.1	CU329670.1;CU329670.1	3367657;3369516	3369449;3369519	-;-	1797	552
cds-CAA93239.1	CU329670.1	3369743	3370807	+	1065	858
cds-CAA93240.2	CU329670.1	3371409	3372482	-	1074	229
cds-CAB40197.1	CU329670.1	3373217	3373984	-	768	206
cds-CCD31326.1	CU329670.1	3374696	3375004	+	309	3
cds-CAO77642.1	CU329670.1	3375516	3375818	+	303	0
cds-CAB40194.1	CU329670.1;CU329670.1;CU329670.1	3377148;3377280;3377519	3377216;3377366;3377722	+;+;+	360	76
cds-CAA17027.2	CU329670.1;CU329670.1;CU329670.1	3377901;3378004;3378069	3377958;3378021;3378094	-;-;-	102	4
cds-CAA17026.1	CU329670.1	3378272	3379288	+	1017	308
cds-CAA17025.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	3380756;3380900;3381096;3381199;3381459	3380828;3380984;3381143;3381344;3381781	+;+;+;+;+	675	197
cds-CAA17024.1	CU329670.1;CU329670.1	3382332;3382479	3382404;3383404	+;+	999	121
cds-CAA17023.1	CU329670.1;CU329670.1	3384268;3384745	3384337;3385487	+;+	813	4555
cds-CAA17022.2	CU329670.1	3386047	3387573	+	1527	139
cds-CAB93009.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1	3388241;3388317;3388476;3388913	3388273;3388434;3388779;3389327	+;+;+;+	870	454
cds-CAB93010.1	CU329670.1	3389828	3391390	-	1563	306
cds-CCD31327.1	CU329670.1	3391909	3392274	-	366	28
cds-CAE46913.1	CU329670.1	3392259	3392690	+	432	33
cds-CAB93011.1	CU329670.1;CU329670.1;CU329670.1	3392886;3393125;3393483	3393028;3393411;3393949	-;-;-	897	96
cds-CAB93012.4	CU329670.1;CU329670.1	3395685;3397383	3397327;3397638	-;-	1899	78
cds-CAB93013.1	CU329670.1	3398024	3398701	-	678	28
cds-CAB93014.1	CU329670.1	3399256	3400044	+	789	2867
cds-CAB93015.1	CU329670.1	3400542	3401024	+	483	2710
cds-CAB93016.3	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	3401279;3401471;3401818;3401961;3402138;3402956;3403136;3403240;3403625;3403791	3401424;3401771;3401913;3402087;3402905;3403049;3403195;3403576;3403729;3403991	-;-;-;-;-;-;-;-;-;-	2235	106
cds-CAC29481.1	CU329670.1	3406215	3407066	+	852	139
cds-CAC29482.1	CU329670.1;CU329670.1	3407825;3409427	3409267;3409525	-;-	1542	401
cds-CAB16596.1	CU329670.1	3410951	3411835	+	885	3705
cds-CAB16595.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1	3413139;3413369;3413571;3414292	3413295;3413520;3414238;3414496	-;-;-;-	1182	194
cds-CCD31328.1	CU329670.1;CU329670.1;CU329670.1	3412527;3412610;3412778	3412569;3412731;3413053	+;+;+	441	54
cds-CAB16594.1	CU329670.1	3415658	3416041	-	384	1930
cds-CAB16593.2	CU329670.1	3416722	3424821	+	8100	805
cds-CAB16599.2	CU329670.1;CU329670.1;CU329670.1	3425966;3426211;3428428	3426104;3428390;3428910	+;+;+	2802	409
cds-CAB16592.1	CU329670.1;CU329670.1	3429717;3430635	3430343;3430760	-;-	753	1082
cds-CAB16598.1	CU329670.1;CU329670.1	3431089;3431481	3431389;3435397	+;+	4218	400
cds-CAB16590.1	CU329670.1	3437021	3438061	-	1041	229
cds-CAB16591.1	CU329670.1	3436287	3436706	+	420	482
cds-CAB16597.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1	3438933;3438987;3439674;3441487	3438944;3439620;3441361;3441651	+;+;+;+	2499	142
cds-CAB16589.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1	3441687;3441924;3442127;3442248	3441795;3442048;3442197;3442287	-;-;-;-	345	91
cds-CAB16588.2	CU329670.1;CU329670.1	3443944;3444282	3444096;3445445	+;+	1317	1105
cds-CAB16386.1	CU329670.1	3446508	3447512	+	1005	280
cds-CAB16385.1	CU329670.1	3448364	3449593	+	1230	1867
cds-CAK9838439.1	CU329670.1;CU329670.1;CU329670.1	3450056;3450132;3452485	3450130;3452269;3452608	-;-;-	2337	256
cds-CAB16383.1	CU329670.1	3453056	3455260	+	2205	308
cds-CAB16382.1	CU329670.1	3457273	3458928	+	1656	1786
cds-CAK9838442.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	3459233;3459492;3459705;3459941;3460234;3460318;3460425;3460508;3460642;3461323;3461766	3459436;3459665;3459897;3460185;3460318;3460372;3460442;3460560;3461263;3461583;3461859	-;-;-;-;-;-;-;-;-;-;-	2003	93
cds-CAB16380.3	CU329670.1;CU329670.1;CU329670.1	3465309;3465542;3466165	3465444;3466006;3466313	-;-;-	750	41
cds-CAB16381.1	CU329670.1;CU329670.1;CU329670.1	3463065;3463259;3463745	3463127;3463698;3465065	+;+;+	1824	70
cds-CAB16379.3	CU329670.1;CU329670.1	3466834;3467608	3467475;3467835	+;+	870	60
cds-CAB16391.1	CU329670.1;CU329670.1	3468197;3469904	3469845;3470006	-;-	1752	196
cds-CAB16390.2	CU329670.1;CU329670.1	3471020;3474715	3474631;3474807	-;-	3705	880
cds-CAB95997.1	CU329670.1	3475561	3477075	+	1515	165
cds-CAB95998.1	CU329670.1	3479314	3480855	+	1542	2016
cds-CAB95999.1	CU329670.1	3481909	3484134	+	2226	153
cds-CAB96000.3	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	3484678;3484736;3485241;3485382;3485582;3486056	3484698;3485065;3485342;3485483;3485974;3486502	+;+;+;+;+;+	1395	174
cds-CAB96001.1	CU329670.1;CU329670.1	3487325;3490769	3490684;3490834	+;+	3426	1038
cds-CAB96002.1	CU329670.1;CU329670.1	3491583;3492467	3492398;3492484	-;-	834	178
cds-CAB96003.1	CU329670.1;CU329670.1;CU329670.1	3493092;3493506;3494153	3493274;3494071;3494183	-;-;-	780	36
cds-CAB96004.1	CU329670.1;CU329670.1	3494710;3495047	3494775;3495877	+;+	897	199
cds-CAB96005.1	CU329670.1;CU329670.1	3496487;3497277	3496988;3497386	-;-	612	1985
cds-CAB11030.1	CU329670.1;CU329670.1	3499049;3499429	3499282;3503457	+;+	4263	1996
cds-CAB11031.1	CU329670.1;CU329670.1;CU329670.1	3504261;3504311;3504422	3504269;3504377;3505014	+;+;+	669	30
cds-CAB11032.1	CU329670.1;CU329670.1	3505144;3505311	3505209;3505580	+;+	336	24
cds-CAB11033.1	CU329670.1;CU329670.1	3506031;3506153	3506093;3506845	-;-	756	194
cds-CAB11034.1	CU329670.1;CU329670.1	3507605;3508094	3508050;3508277	-;-	630	25
cds-CAB11047.1	CU329670.1;CU329670.1	3508646;3509900	3509854;3510007	-;-	1317	231
cds-CAB11035.2	CU329670.1;CU329670.1;CU329670.1	3510419;3512848;3513001	3512794;3512948;3513019	-;-;-	2496	1587
cds-CAB11036.1	CU329670.1;CU329670.1	3514029;3514187	3514130;3514894	+;+	810	21
cds-CAB11037.1	CU329670.1;CU329670.1	3515830;3515933	3515854;3518526	+;+	2619	361
cds-CAB11038.2	CU329670.1;CU329670.1	3518894;3519227	3519139;3519760	-;-	780	172
cds-CAB11039.2	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	3520542;3520663;3521264;3521493;3522201;3522325	3520619;3521206;3521447;3522155;3522287;3522370	-;-;-;-;-;-	1602	201
cds-CAB11040.2	CU329670.1	3522650	3522973	-	324	21
cds-CAC37432.2	CU329670.1;CU329670.1;CU329670.1	3523136;3523925;3524044	3523644;3523996;3524098	-;-;-	636	89
cds-CAB11041.1	CU329670.1	3525304	3526947	+	1644	214
cds-CAB11042.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	3527156;3527384;3527595;3528009;3528107	3527341;3527493;3527862;3528069;3528141	-;-;-;-;-	660	121
cds-CAB11043.1	CU329670.1;CU329670.1;CU329670.1	3528159;3528454;3528763	3528385;3528628;3529017	+;+;+	657	448
cds-CAB11044.1	CU329670.1;CU329670.1	3530337;3530615	3530470;3531503	+;+	1023	365
cds-CAB11045.1	CU329670.1	3532418	3533413	-	996	153
cds-CCD31329.1	CU329670.1;CU329670.1	3534358;3534877	3534738;3534966	-;-	471	7
cds-CAB11080.1	CU329670.1;CU329670.1	3536627;3537985	3537788;3538259	+;+	1437	268
cds-CAB11081.1	CU329670.1	3539025	3540638	-	1614	176
cds-CAB11082.1	CU329670.1	3541490	3544081	-	2592	1137
cds-CAB11083.2	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	3544727;3544849;3544971;3545315;3545919;3546740;3547052;3547267	3544801;3544920;3545250;3545861;3546701;3546914;3547152;3547279	-;-;-;-;-;-;-;-	2046	188
cds-CAB11084.2	CU329670.1	3550152	3551732	+	1581	102
cds-CAB16558.1	CU329670.1	3552867	3553739	-	873	485
cds-CAB16567.1	CU329670.1;CU329670.1	3555271;3556326	3556282;3556345	-;-	1032	446
cds-CAB16559.1	CU329670.1	3557047	3558123	-	1077	135
cds-CAB16560.1	CU329670.1;CU329670.1	3560731;3561257	3560941;3562587	+;+	1542	539
cds-CAB16561.1	CU329670.1	3563011	3566829	-	3819	348
cds-CAB16568.1	CU329670.1;CU329670.1	3567223;3567741	3567638;3567858	-;-	534	92
cds-CAB16562.2	CU329670.1;CU329670.1;CU329670.1;CU329670.1	3568267;3569141;3569292;3569443	3569092;3569226;3569368;3569539	-;-;-;-	1086	102
cds-CAB16569.1	CU329670.1	3570447	3572345	-	1899	510
cds-CAB16563.1	CU329670.1	3574995	3575687	-	693	10
cds-CAB16564.2	CU329670.1	3577109	3577762	+	654	2
cds-CAB16565.1	CU329670.1	3580223	3582916	+	2694	124
cds-CAB16570.1	CU329670.1;CU329670.1	3583250;3584713	3583995;3584779	-;-	813	1012
cds-CAB16566.2	CU329670.1	3586435	3588288	+	1854	376
cds-CAB16213.1	CU329670.1	3588975	3589949	-	975	258
cds-CAB16215.1	CU329670.1	3595197	3596345	-	1149	359
cds-CAB16214.1	CU329670.1	3593055	3594962	+	1908	384
cds-CAB16216.1	CU329670.1	3596472	3598799	-	2328	281
cds-CAB16217.1	CU329670.1;CU329670.1	3599103;3599241	3599171;3599576	+;+	405	2808
cds-CAB16218.1	CU329670.1	3600187	3600855	-	669	189
cds-CAB16219.1	CU329670.1	3601879	3603489	+	1611	162
cds-CAB16220.1	CU329670.1	3604092	3604913	+	822	371
cds-CAB16221.1	CU329670.1	3605798	3607381	+	1584	365
cds-CAB16222.1	CU329670.1	3607829	3609739	-	1911	532
cds-CAB16223.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	3612124;3612237;3612422;3612598;3612877	3612191;3612323;3612486;3612674;3614883	+;+;+;+;+	2304	315
cds-CAB16224.1	CU329670.1	3615626	3616927	+	1302	679
cds-CAB16225.1	CU329670.1	3617541	3618845	-	1305	1367
cds-CAB16226.2	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	3619344;3619808;3620184;3620371;3620529;3620595	3619703;3620143;3620257;3620480;3620554;3620657	-;-;-;-;-;-	969	192
cds-CAB16227.2	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	3621007;3621514;3622105;3623047;3623309;3623456;3623597	3621470;3622060;3623005;3623175;3623406;3623542;3623644	-;-;-;-;-;-;-	2274	808
cds-CAB16228.1	CU329670.1	3623869	3625077	+	1209	65
cds-CAB16229.2	CU329670.1	3625574	3627544	+	1971	367
cds-CAB77009.1	CU329670.1;CU329670.1;CU329670.1	3627845;3628123;3628784	3628074;3628743;3628886	-;-;-	954	810
cds-CAB77010.1	CU329670.1	3629173	3631341	-	2169	259
cds-CAB77011.1	CU329670.1	3631536	3633659	+	2124	439
cds-CAB77012.1	CU329670.1	3635765	3636286	+	522	260
cds-CAB77013.1	CU329670.1	3637102	3638091	+	990	383
cds-CAB77014.1	CU329670.1;CU329670.1	3638771;3639386	3639264;3639560	-;-	669	230
cds-CAB77015.1	CU329670.1	3639988	3642219	+	2232	345
cds-CAB77016.2	CU329670.1	3642498	3642845	+	348	0
cds-CAB16291.2	CU329670.1;CU329670.1	3643239;3643634	3643368;3644742	+;+	1239	1142
cds-CAB16292.1	CU329670.1	3646275	3648218	+	1944	2010
cds-CAB16293.1	CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1;CU329670.1	3649559;3649716;3649799;3649939;3650117;3650338;3650390	3649601;3649749;3649827;3650058;3650260;3650341;3650465	+;+;+;+;+;+;+	450	269
